cliente_id,probabilidad,nivel_riesgo,motivo_principal,top_3_motivos,Contract,InternetService,PaymentMethod,tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents
5178-LMXOP,0.9453524631315732,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,1,95.1,95.1,1,Yes,No
6023-YEBUP,0.93861996166522,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,100.95,329.95,0,No,No
8593-WHYHV,0.9384453491551994,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,85.3,264.8,0,No,No
8884-ADFVN,0.9382653095642413,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Electronic check,7,101.95,700.85,1,Yes,No
4415-IJZTP,0.9357421613231577,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,74.5,74.5,0,No,No
8258-GSTJK,0.9345721575404478,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,77.0,237.75,1,No,No
2737-YNGYW,0.9262634241143163,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,2,80.55,184.1,0,No,No
4090-KPJIP,0.9256496319088499,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,74.95,212.4,0,No,No
4713-LZDRV,0.9244829703548976,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,2,79.6,195.05,1,No,No
2867-UIMSS,0.9238614788247704,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,80.5,80.5,0,No,No
3006-XIMLN,0.9182166560810593,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Bank transfer (automatic),2,94.2,193.8,0,No,Yes
6372-RFVNS,0.9161288181027618,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,78.8,78.8,0,Yes,No
8752-STIVR,0.9151766383825244,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,79.0,303.15,0,No,No
3707-GNWHM,0.9103105108327784,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Mailed check,1,74.25,74.25,0,No,No
6328-ZPBGN,0.9087489873414578,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Bank transfer (automatic),11,95.15,997.65,1,No,No
2034-GDRCN,0.9076743679520924,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,90.4,168.2,0,No,No
1751-NCDLI,0.9076421110198726,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,46,98.85,4564.9,1,Yes,No
3320-VEOYC,0.9075098704411811,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,14,95.6,1273.3,1,No,No
2609-IAICY,0.9074399528936086,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,77.15,77.15,0,No,No
7817-BOQPW,0.9022393947300047,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,75.55,166.3,0,No,No
7180-PISOG,0.8996160050320267,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,74.5,74.5,0,Yes,Yes
6857-VWJDT,0.8988458379393641,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Mailed check,1,95.65,95.65,0,No,No
6230-BSUXY,0.8961575835291533,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,85.0,85.0,1,No,No
2202-CUYXZ,0.8941647536364331,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,84.85,84.85,0,No,No
1768-ZAIFU,0.8923511966441955,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Electronic check,1,25.2,25.2,1,No,No
5196-SGOAK,0.8908127564099533,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,75.7,75.7,0,No,No
4342-HENTK,0.8871485947439961,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,70.65,142.35,1,No,No
8380-PEFPE,0.8866049987858844,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,71.65,71.65,0,No,Yes
1320-HTRDR,0.8836436945276009,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,75.5,220.6,0,No,No
7249-WBIYX,0.8829381161896154,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Electronic check,10,85.6,813.85,0,Yes,No
2865-TCHJW,0.8805386767385014,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,89.2,346.2,1,No,No
4587-VVTOX,0.8792301037910784,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Electronic check,6,105.3,545.2,0,Yes,No
8739-XNIKG,0.8791622518642671,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,5,84.0,424.75,0,No,No
8622-ZLFKO,0.878804852245169,ALTO,Antigüedad,Antigüedad | Servicio de internet: fibra óptica | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,6,90.75,512.25,0,Yes,No
8083-YTZES,0.8782186596178669,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,74.35,265.35,0,No,No
4927-WWOOZ,0.876883711005152,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,91.45,171.45,0,Yes,No
6630-UJZMY,0.8726053093862683,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,83.25,308.05,1,Yes,No
1400-MMYXY,0.8716483756145957,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,105.9,334.65,1,Yes,No
0679-IDSTG,0.8713439429046435,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.25,69.25,1,Yes,Yes
7273-TEFQD,0.8690388019914596,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,DSL,Electronic check,3,41.15,132.2,1,No,No
6856-RAURS,0.8679748218540055,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Mailed check,2,74.9,136.05,0,No,No
8775-ERLNB,0.8679747786343878,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,74.3,74.3,1,Yes,No
7409-KIUTL,0.8677892344731016,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,71.0,71.0,1,No,Yes
2959-MJHIC,0.8663985824455768,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,80.35,307.4,0,Yes,No
5376-DEQCP,0.8655339643686915,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,70.6,70.6,0,No,No
5167-ZFFMM,0.8650880499059419,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Credit card (automatic),1,90.85,90.85,0,No,No
3519-ZKXGG,0.864890728731098,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,75.85,256.6,0,Yes,No
9611-CTWIH,0.8638486961798342,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,89.45,240.45,0,No,No
5442-BHQNG,0.8618167099074961,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,70.35,139.25,0,No,No
3677-IYRBF,0.8599451636252733,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,DSL,Electronic check,2,30.4,78.65,1,No,No
9507-EXLTT,0.8583208803677779,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),1,79.35,79.35,0,Yes,No
2495-INZWQ,0.8573931081385869,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,DSL,Electronic check,4,44.55,174.3,0,No,No
8443-ZRDBZ,0.8560028824438713,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,76.05,318.9,0,No,No
6979-ZNSFF,0.8551828660664152,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,8,87.05,762.1,0,No,No
0970-ETWGE,0.8539493924481469,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,1,89.55,89.55,0,No,No
5186-SAMNZ,0.8526766259571669,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),1,69.5,69.5,1,No,No
1628-BIZYP,0.850445611108552,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,85.0,85.0,0,No,No
2254-DLXRI,0.8493528678639706,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Mailed check,1,79.15,79.15,0,No,No
7952-OBOYL,0.8492520826011647,ALTO,Antigüedad,Antigüedad | Servicio de internet: fibra óptica | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Mailed check,3,89.85,244.45,0,No,No
3722-WPXTK,0.8491783868002346,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,1,88.35,88.35,0,No,No
7278-CKDNC,0.8490986261656769,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Método de pago: cheque electrónico | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,24,80.5,2088.45,1,No,No
7181-BQYBV,0.8478685711843903,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,1,102.45,102.45,0,Yes,Yes
4445-ZJNMU,0.8470811538841063,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Credit card (automatic),9,99.3,918.75,0,No,No
9334-GWGOW,0.8461814734014798,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,7,74.85,485.25,1,Yes,No
4735-ASGMA,0.8458649465104858,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,26,98.35,2515.3,0,No,No
0390-DCFDQ,0.8454735172385229,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Mailed check,1,70.45,70.45,1,Yes,No
4229-CZMLL,0.8452839930365196,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,6,74.9,469.8,0,No,No
3422-LYEPQ,0.8447109590592629,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,71.0,71.0,0,Yes,Yes
5052-PNLOS,0.8444219176860289,ALTO,Antigüedad,Antigüedad | Servicio de internet: fibra óptica | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),3,105.35,323.25,0,No,No
1980-KXVPM,0.843404060326392,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Credit card (automatic),3,75.05,256.25,1,No,No
7198-GLXTC,0.8433466772351632,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,79.0,143.65,0,No,No
1448-PWKYE,0.8431341191003661,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,80.0,80.0,0,Yes,Yes
8361-LTMKD,0.8425247788600223,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Mailed check,4,74.4,306.6,1,Yes,No
3585-ISXZP,0.8367533663599228,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),8,95.65,778.1,0,No,No
1853-UDXBW,0.8321587968289412,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,70.0,70.0,0,Yes,Yes
8699-ASUFO,0.8308028992240655,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Mailed check,7,74.4,527.9,1,Yes,No
0235-KGSLC,0.8272733888161747,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Credit card (automatic),1,85.55,85.55,0,No,No
0685-MLYYM,0.8268328387433612,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,2,70.75,154.85,1,No,No
6969-MVBAI,0.8259924229581475,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,9,90.1,816.8,1,No,No
8650-RHRKE,0.8236992255334176,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,DSL,Electronic check,4,29.65,118.5,0,No,No
7363-QTBIW,0.8224570702076596,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,9,79.75,769.1,0,Yes,No
2439-LYPMQ,0.8157955405524528,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,38,102.6,4009.2,1,Yes,No
8709-KRDVL,0.8148898115442672,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,33,100.0,3320.6,0,No,No
2485-ITVKB,0.8138639406464996,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Electronic check,2,35.1,68.75,0,Yes,No
2027-FECZV,0.8136364199974887,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,12,106.7,1253.9,0,No,No
8873-GLDMH,0.8130973497205186,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Mailed check,6,73.85,401.3,0,No,No
7235-NXZCP,0.811802183846647,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Mailed check,2,74.85,156.4,1,No,No
2077-MPJQO,0.8105005235040794,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Electronic check,7,75.4,533.05,1,Yes,No
9221-OTIVJ,0.809937686202471,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,14,104.85,1531.4,1,No,No
9878-TNQGW,0.8092578133336477,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,2,80.95,171.15,0,No,No
8739-WWKDU,0.8081334937134398,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Método de pago: cheque electrónico,Month-to-month,Fiber optic,Electronic check,25,89.5,2196.15,1,No,No
6608-QQLVK,0.8076684259260092,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Electronic check,1,50.5,50.5,0,No,No
5501-TVMGM,0.8076458541848827,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Electronic check,1,55.25,55.25,0,No,No
0616-ATFGB,0.8066580730171793,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Electronic check,1,25.05,25.05,1,Yes,No
9643-AVVWI,0.8043627166669981,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,80.0,241.3,0,Yes,Yes
4817-VYYWS,0.8028766295571875,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,30,100.2,2983.8,0,No,No
5698-BQJOH,0.8025809997296822,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,9,94.4,857.25,0,No,No
6543-XRMYR,0.7992417734358916,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Antigüedad | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,30,99.7,2967.35,1,No,No
5382-SOYZL,0.7983006897426173,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,22,95.1,2162.6,0,No,No
1240-KNSEZ,0.7981820275663161,ALTO,Cargo acumulado,Cargo acumulado | Antigüedad | Tipo de contrato: mes a mes,Month-to-month,No,Mailed check,1,20.1,20.1,0,No,No
2754-SDJRD,0.7980552974399918,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Credit card (automatic),8,100.15,908.55,1,No,No
6910-HADCM,0.7974932901463861,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,76.35,76.35,0,No,No
2845-HSJCY,0.7965771971187612,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,14,87.25,1258.6,0,Yes,Yes
6821-BUXUX,0.7935913080563571,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,13,96.65,1244.5,0,No,No
6137-NICCO,0.7929431659576752,ALTO,Antigüedad,Antigüedad | Servicio de internet: fibra óptica | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Mailed check,6,94.05,518.75,0,Yes,Yes
5419-CONWX,0.7909198126482166,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Credit card (automatic),4,99.8,442.85,1,No,No
2665-NPTGL,0.7901179865851506,ALTO,Tipo de contrato: mes a mes,Tipo de contrato: mes a mes | Servicio de internet: fibra óptica | Antigüedad,Month-to-month,Fiber optic,Bank transfer (automatic),26,98.1,2510.7,1,Yes,No
8821-XNHVZ,0.7895853293509686,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Mailed check,1,80.05,80.05,0,Yes,Yes
5133-POWUA,0.7830574744321878,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Mailed check,1,45.8,45.8,0,No,No
6680-WKXRZ,0.7829530997690797,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Bank transfer (automatic),3,74.4,215.8,0,No,No
4237-RLAQD,0.7807749181817116,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,DSL,Mailed check,1,45.85,45.85,0,No,No
5628-FCGYG,0.7796150995555692,ALTO,Cargo acumulado,Cargo acumulado | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,21,84.1,1737.45,0,No,No
7209-JCUDS,0.7796129394451301,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Electronic check,10,94.9,1048.85,0,No,No
9747-DDZOS,0.7772056041902956,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),1,73.5,73.5,0,No,No
8245-UMPYT,0.7752868849165248,ALTO,Cargo acumulado,Cargo acumulado | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,16,96.4,1581.2,1,No,No
